208	3	34
1	0.05	0.01
1	1	25	1	2	1	D
2	5	21	2	4	1	B
3	6	10	4	5	3	C
4	8	18	3	2	2	A
5	8	27	3	1	1	B
6	12	25	3	5	2	C
7	13	25	1	5	2	A
8	14	14	1	4	2	A
9	16	28	4	3	3	A
10	20	23	5	2	2	A
11	23	27	1	1	3	A
12	25	29	5	2	3	C
13	29	28	1	1	2	C
14	29	26	5	2	3	A
15	29	21	4	5	3	C
16	33	19	3	4	1	A
17	37	18	5	2	2	C
18	37	15	1	3	2	B
19	40	27	2	1	2	C
20	44	29	1	2	1	A
21	44	16	5	2	1	B
22	46	22	2	4	1	C
23	47	26	1	4	1	A
24	52	19	3	4	2	A
25	56	18	5	1	2	B
26	59	20	5	2	2	A
27	59	19	5	3	3	C
28	63	26	5	2	3	D
29	65	18	2	3	1	B
30	67	24	3	5	2	B
31	67	29	5	4	1	B
32	68	26	5	1	2	A
33	69	12	4	3	2	B
34	72	28	1	2	1	C
35	77	12	4	1	3	C
36	77	20	1	4	1	A
37	79	10	5	5	2	B
38	84	17	2	5	3	C
39	89	22	2	4	2	C
40	91	29	2	1	3	B
41	96	15	3	1	2	B
42	97	22	1	5	1	C
43	100	23	1	4	2	D
44	105	21	5	1	1	C
45	110	19	4	2	3	C
46	113	16	3	5	3	C
47	114	27	1	3	1	D
48	114	29	2	3	1	B
49	119	21	1	5	1	B
50	120	22	2	1	3	C
-1
