50	3	11
1	0.05	0.01
1	6	17	5	4	2	B
2	7	22	5	4	1	D
3	12	20	5	2	3	B
4	15	23	5	2	3	C
5	20	13	5	2	3	C
6	21	20	4	4	1	A
7	26	17	1	1	3	B
8	28	20	3	2	2	C
9	33	16	5	1	3	D
10	36	28	1	2	2	B
11	40	11	3	4	1	C
12	41	12	3	2	3	C
13	42	13	5	2	1	C
14	47	25	3	4	1	C
15	47	24	1	2	1	C
16	49	20	4	2	1	A
17	51	11	3	4	1	C
18	54	22	2	3	1	C
19	57	13	5	3	2	C
20	58	17	4	3	2	B
21	63	17	4	4	2	B
22	67	28	4	1	3	C
23	69	18	1	3	1	C
24	72	14	1	1	1	A
25	74	10	3	4	2	C
26	78	15	2	5	2	A
27	81	11	1	1	1	C
28	84	29	5	2	1	B
29	89	14	1	4	1	B
30	93	28	5	5	1	B
31	93	29	4	2	2	C
32	94	15	4	4	2	A
33	95	11	5	4	1	B
34	99	20	3	2	2	A
35	100	10	1	1	1	B
36	100	19	2	5	2	B
37	101	16	2	5	3	B
38	103	25	4	1	2	A
39	103	13	4	2	1	D
40	107	12	1	5	1	B
41	109	21	2	5	3	A
42	113	16	3	1	1	A
43	115	15	1	4	1	A
44	115	14	5	5	1	C
45	115	12	3	2	2	C
46	118	24	3	4	1	C
47	118	16	2	2	1	C
48	121	11	2	4	2	C
49	126	16	4	1	2	B
50	128	21	1	5	1	B
-1
