409	3	40
1	0.05	0.01
1	6	13	4	1	1	B
2	11	11	1	5	1	B
3	12	13	3	2	1	B
4	14	16	5	5	1	B
5	14	29	4	1	3	B
6	18	13	2	2	1	B
7	22	25	1	3	1	B
8	23	25	4	2	2	C
9	24	25	3	1	2	B
10	26	26	4	4	2	B
11	31	25	5	4	1	A
12	31	17	1	2	2	B
13	35	13	1	4	1	A
14	38	17	4	5	2	B
15	42	15	1	2	2	A
16	43	13	3	1	1	A
17	43	29	2	2	3	D
18	47	29	3	3	3	D
19	49	14	4	3	1	C
20	52	10	3	2	3	D
21	57	27	3	4	3	B
22	60	26	3	3	1	B
23	60	16	3	4	3	B
24	65	17	4	3	1	C
25	66	10	3	3	1	D
26	70	29	3	3	3	C
27	75	28	4	2	1	A
28	77	19	5	4	1	C
29	77	26	3	3	3	D
30	77	11	2	4	3	A
31	78	29	1	1	1	C
32	79	12	4	2	2	B
33	81	24	3	3	3	D
34	86	16	5	4	2	D
35	86	20	4	2	1	C
36	86	15	3	5	1	C
37	86	18	2	1	2	B
38	91	18	3	2	1	A
39	94	23	5	3	1	B
40	99	10	3	3	2	C
41	101	23	5	3	1	D
42	102	29	3	5	3	C
43	103	18	5	2	1	C
44	104	18	2	5	1	B
45	107	10	2	1	3	A
46	112	16	2	4	1	C
47	115	26	4	1	1	D
48	119	26	4	5	3	B
49	123	22	2	4	2	D
50	127	22	1	2	2	B
51	127	10	1	3	1	C
52	131	27	3	5	3	A
53	136	18	5	2	3	C
54	140	23	2	2	3	C
55	145	27	5	2	1	A
56	148	28	2	5	2	A
57	151	10	5	2	3	B
58	152	13	5	3	3	B
59	156	12	5	3	1	A
60	157	24	2	2	3	C
61	161	12	1	5	2	C
62	164	13	3	5	3	C
63	169	12	3	2	1	A
64	170	23	3	4	2	B
65	171	11	3	1	3	B
66	175	13	1	3	2	A
67	178	16	5	3	1	B
68	179	26	5	3	2	C
69	183	28	1	3	3	C
70	186	29	5	5	1	A
71	187	21	4	3	3	B
72	192	23	4	5	3	C
73	193	19	5	3	1	B
74	195	10	2	1	1	B
75	196	18	2	3	2	C
76	200	11	5	2	1	C
77	201	27	3	1	1	D
78	206	22	3	4	2	B
79	208	26	2	1	1	C
80	208	17	2	2	2	B
81	210	21	2	5	1	C
82	212	18	2	4	1	A
83	217	25	5	5	2	C
84	220	24	1	5	1	A
85	223	13	1	5	1	C
86	223	26	5	1	2	B
87	226	11	4	3	3	B
88	231	15	5	5	1	C
89	234	24	3	1	1	A
90	234	25	4	4	3	B
91	236	19	3	2	1	B
92	239	25	2	4	2	C
93	240	10	5	1	2	B
94	241	20	3	1	2	D
95	245	21	1	1	1	B
96	246	14	1	2	1	B
97	250	26	2	4	2	A
98	250	20	1	2	1	D
99	250	13	1	4	2	C
100	252	18	4	1	2	C
-1
