208	3	31
1	0.05	0.01
1	4	18	1	1	2	C
2	8	18	2	4	2	B
3	10	24	3	2	1	B
4	15	23	5	1	3	C
5	18	26	2	5	1	A
6	20	28	1	2	1	B
7	24	29	2	4	2	B
8	26	11	1	5	1	A
9	31	19	3	4	1	C
10	36	28	1	5	2	B
11	36	23	3	3	2	D
12	36	22	5	1	1	C
13	41	11	2	5	3	A
14	41	28	1	2	1	C
15	43	12	3	5	3	B
16	43	21	4	3	2	C
17	43	16	4	3	2	C
18	48	11	4	1	1	B
19	48	25	1	5	2	C
20	50	13	3	1	1	A
21	55	18	3	4	1	C
22	55	11	3	2	1	D
23	56	24	5	5	1	B
24	58	10	3	3	1	C
25	58	25	2	1	3	B
26	59	28	1	2	1	C
27	62	26	2	2	1	A
28	62	13	2	2	2	A
29	64	27	3	2	2	B
30	64	12	4	1	2	D
-1
