209	3	33
1	0.05	0.01
1	6	17	1	2	1	A
2	8	27	2	4	2	D
3	9	25	1	5	1	A
4	12	23	4	1	2	A
5	17	17	1	4	3	B
6	20	27	3	3	1	B
7	22	14	5	3	1	C
8	24	26	5	2	1	B
9	25	19	2	5	3	B
10	29	18	4	1	3	A
11	31	11	2	1	3	A
12	31	18	3	2	3	D
13	32	25	3	1	1	C
14	36	18	1	2	3	A
15	40	22	4	2	3	C
16	40	18	5	5	2	C
17	42	19	3	3	1	B
18	42	28	2	3	1	B
19	42	18	4	2	1	A
20	47	26	1	2	3	C
21	50	18	1	1	2	D
22	53	26	4	5	2	D
23	57	26	4	1	2	C
24	59	10	4	3	1	C
25	59	26	1	1	2	C
26	60	25	5	5	3	D
27	60	28	2	2	2	C
28	65	10	1	4	2	B
29	70	11	3	5	2	D
30	71	14	1	2	1	A
31	71	15	5	3	1	B
32	73	16	4	3	2	A
33	75	29	5	5	2	C
34	79	22	5	3	2	B
35	83	16	3	4	2	B
36	87	17	4	4	2	A
37	89	19	5	2	3	C
38	91	21	2	4	2	D
39	96	13	1	4	3	A
40	97	23	4	2	1	B
41	99	16	2	1	1	B
42	99	18	3	2	1	B
43	99	13	5	3	2	A
44	101	21	1	4	3	A
45	104	13	1	1	2	D
46	107	20	1	2	3	B
47	108	15	3	4	1	A
48	109	14	1	2	1	B
49	112	13	1	5	3	B
50	115	13	1	3	2	B
51	120	21	4	3	2	B
52	123	14	3	2	2	A
53	124	21	2	4	1	A
54	127	14	5	5	3	C
55	130	29	3	4	3	C
56	135	21	5	4	2	A
57	138	19	3	3	1	C
58	143	10	2	3	1	C
59	148	10	1	2	3	D
60	153	13	5	1	2	C
61	158	23	1	2	1	A
62	159	17	1	5	3	D
63	164	27	5	3	3	C
64	168	23	2	2	1	C
65	169	25	3	5	2	B
66	171	26	5	2	1	B
67	175	15	1	1	3	A
68	177	27	4	5	3	C
69	179	10	1	1	3	C
70	183	27	4	3	1	A
71	187	26	1	4	2	C
72	191	27	5	2	3	C
73	191	10	4	5	2	C
74	196	17	3	5	2	A
75	196	15	1	5	3	A
76	200	23	4	4	2	D
77	201	21	2	3	2	C
78	204	28	5	4	2	B
79	206	28	5	2	3	B
80	206	21	2	3	1	C
81	210	21	4	5	1	B
82	214	27	5	4	1	B
83	216	12	5	1	2	D
84	216	16	2	1	1	A
85	218	19	2	3	2	A
86	221	24	5	2	1	C
87	225	12	2	3	1	B
88	230	16	3	2	3	A
89	230	10	1	5	2	A
90	235	14	3	1	1	C
91	236	23	4	1	3	C
92	238	15	4	3	1	A
93	239	11	5	3	3	C
94	241	18	1	1	1	D
95	243	14	5	1	2	C
96	245	20	2	4	1	D
97	245	27	3	3	1	B
98	248	22	2	2	2	C
99	250	24	2	5	2	B
100	252	11	1	1	3	D
-1
